Record_No,DBA,Location_Address,Total_#_Sites,House district,Senate district
1201056,COUNTRY MEADOWS MANUFACTURED HOME COMMUNITY,"3211 WILL CARLETON, FLAT ROCK, MI 48134",577,29,4
1201059,,"2300 EAST STATE ROAD, LANSING, MI 48906",228,77,28
1201063,,"26211 TELEGRAPH ROAD, FLAT ROCK, MI 48134",821,28,4
1201065,WELLINGTON ESTATES MHC,"16031 BEECH DALY RD, TAYLOR MI 48180",404,28,4
1201067,OAK ISLAND VILLAGE MOBILE HOME PARK,"16430 PARK LK RD, EAST LANSING MI 48823",250,75,28
1201068,COMMERCE MEADOWS MANUFACTURED HOME COMMUNITY,"2400 MEADOWS CIRCLE, WIXOM, MI 48096",602,51,23
1201070,ROLLING HILLS MOBILE HOME COMMUNITY,"300 MORGAN RD, BATTLE CREEK MI 49017",363,44,18
1201074,MAPLE VALLEY OF ZEELAND,"1901 88TH AVENUE, ZEELAND, MI 49464",161,85,31
1201075,WINDSOR WOODS VILLAGE,"1135 SUPERIOR STREET, WAYLAND, MI 49348",314,43,18
1201078,,"6300 WEST ADAMS, BELLEVILLE, MI 48111",173,31,4
1201081,,",",333,40,19
1201082,BIRCHWOOD ESTATES,"4335 24TH AVE, FORT GRATIOT, MI 48059",195,64,25
1201084,,"2400 56TH STREET, FENNVILLE, MI 49408",167,43,20
1201086,,"2035 EAST IRONWOOD COURT, MUSKEGON, MI 49442",462,89,32
1201090,PHEASANT RIDGE,"364 MEADOW LANE, CADILLAC, MI 49601",196,101,36
1201091,KENSINGTON MEADOWS,"4245 WEST JOLLY ROAD, LANSING, MI 48911",290,76,21
1201092,NORTHERN ESTATES - NORTH,"1569 BEAVER CREEK DRIVE, BELMONT, MI 49306",292,90,30
1201097,BROOKSIDE VILLAGE,"3130 SLATER AVENUE, GRAND RAPIDS, MI 49512",196,80,29
1201098,WARREN DUNES VILLAGE,"11159 RED ARROW HWY., BRIDGMAN, MI 49106",316,38,17
1201100,MEADOW LAKE ESTATES MANUFACTURED HOUSING COMMUNI,"3951 BENTWOOD CIRCLE WEST, WHITE LAKE MI 48383",425,51,23
1201103,FOUNTAIN SPRINGS,"1410 SOUTH 9TH ST, KALAMAZOO MI 49009",328,40,19
1201106,CIDER MILL VILLAGE,"425 CIDER MILL DRIVE, MIDDLEVILLE, MI 49333",258,79,18
1201108,,"7197 SILVER MAPLE LN, BROWN CITY, MI 48416",124,98,25
1201109,,"1563 LANSING RD., CHARLOTTE, MI 48813",128,76,21
1201113,OAK BLUFF ESTATES MOBILE HOME PARK,"2722 S. HILL RD., GLADSTONE, MI 49837",177,108,38
1201114,NORTH WAYNE ESTATES,"27130 CORWIN ST., DOWAGIAC, MI 49047",10,37,17
1201119,,"32 EAST END DRIVE, GAYLORD, MI 49735",225,105,36
1201120,WOODS & FIELDS COMMUNITIES EAST,"2450 KROUSE ROAD, OWOSSO, MI 48867",323,71,28
1201123,,"600 CHEESMAN RD., ST. LOUIS, MI 48880",77,92,34
1201124,"BROOKSHIRE MEADOWS WEST, INC","1501 PORT SHELDON RD., JENISON, MI 49428",93,85,31
1201126,WAVERLY SHORES VILLAGE,"11777 RILEY, HOLLAND, MI 49423",417,86,31
1201127,,"1168 NORTH OAK ROAD, DAVISON, MI 48423",221,68,26
1201128,WEST VILLAGE ESTATES,"7040 SHAWNEE, ROMULUS, MI 48174",629,26,4
1201129,WILLIAMSTON LAKES MHC,"2300 E GRAND RIVER, WILLIAMSTON MI 48895",48,73,28
1201132,,"10431 DIXIE HWY., FAIR HAVEN, MI 48023",12,63,12
1201134,WEST PINE ISLAND,"3534 PINEWOOD TRAIL, HOLTON, MI 49425",30,102,32
1201135,MILL RACE SHORES MHC,"563 ALLEN RD., MILAN, MI 48160",97,31,15
1201137,HURON BAY RESORT,"2545 LAKE SHORE RD LOT 52, APPLEGATE MI 48401",66,98,25
1201138,,"82 DEERFIELD PL, NORTH BRANCH MI 48461",123,98,26
1201146,,"7243 SHELDON RD, HAMBURG TOWNSHIP MI 48189",195,48,22
1201148,,"13012 U.S. 23 SOUTH, OSSINEKE, MI 49766",14,106,36
1201153,,"1065 PEACH BLOSSOM CIRCLE, BURTON, MI 48509",390,68,26
1201154,DUNDEE MEADOWS,"630 RAWSON, DUNDEE, MI 48131",80,31,16
1201158,OLD OAK TRAILS ESTATES MOBILE HOME PARK,"1661 N OLD OAK TR, SANFORD, MI 48657",215,95,35
1201159,,"4629  134TH AVENUE, HAMILTON, MI 49419",49,43,20
1201162,SILVER SPRINGS,"43600 PARK DRIVE WEST, CLINTON TOWNSHIP, MI 48036",547,61,12
1201164,COUNTRY MEADOWS VILLAGE,"5401  76TH STREET, CALEDONIA MI 49316",395,79,18
1201165,SILVERBROOK MANUFACTURED HOUSING COMMUNITY,"2300 EAST MAIN STREET, NILES, MI 49120",176,37,17
1201167,BROOKHAVEN MHP,"622 DIVISION, NEWAYGO, MI 49337",222,101,33
1201168,VICTORIA MEADOWS HOME COMMUNITY,"N. MILL ST., DRYDEN, MI 48428",130,65,24
1201172,,"16423 JENNINGS ROAD, FENTON, MI 48430",203,72,22
1201173,HARTLAND MEADOWS,"13643 WEST HIGHLAND ROAD, HARTLAND, MI 483533128",617,50,22
1201175,CREEKWOOD MEADOWS,"4272 CREEKSIDE BOULEVARD, BURTON, MI 48429",336,68,27
1201178,COUNTRY HILLS VILLAGE,"2200 RILEY STREET, JAMESTOWN, MI 49427",239,43,31
1201182,,"5402 EAST BROADWAY, MT. PLEASANT, MI 48858",225,92,34
1201183,WEATHERSTONE VILLAGE COMMUNITY,"5210 MARSH ARBOR TRAIL, KALAMAZOO MI 49004",101,42,19
1201185,NORTHVILLE CROSSING,"9800 BLOOMSBURY CIRCLE, NORTHVILLE, MI 48167",756,23,14
1201188,ELIZABETH WOODS MANUFACTURED HOUSING COMMUNITY,"1250 PAREE STREET, NEWPORT, MI 48166",393,28,16
1201189,,"2000 MAPLE RUN BLVD., CLIO, MI 48420",145,97,26
1201190,MORRICE MEADOWS,"328 N. HIDDEN RIDGE RD., MORRICE, MI 48857",103,71,28
1201191,,"5901 LAPEER ROAD, KIMBALL MI 48074",313,64,25
1201192,SADDLEBROOK FARMS,",",147,40,19
1201196,,"3626 W. HIDDEN FOREST DRIVE, LUDINGTON, MI 49431",119,102,32
1201202,WALTON RIDGE MOBILE HOME COMMUNITY,"1360 FOXRUN CT., PONTIAC, MI 48340",155,53,7
1201203,,"110 PINE LAKE DRIVE, LAPEER, MI 48446",249,67,26
1201205,,"1011 RIVER LINE DRIVE, HOWELL TOWNSHIP, MI 48843",498,50,22
1201206,MAPLE LEAF COMMUNITY,"8701 E. M-21, OVID, MI 48866",76,75,28
1201211,,"2447 NEWPORT ROAD, NEWPORT, MI 48166",513,28,16
1201213,,"3331 STONEYBROOK DRIVE, HIGHLAND TOWNSHIP, MI 48380",455,51,23
1201214,WHISPERING VALLEY ESTATES,"8410 U.S. 2, RAPID RIVER MI 49878",14,108,38
1201216,,"236 SYCAMORE CT, PORT HURON, MI 48060",184,64,25
1201217,HUNTERS CROSSING,"150 HUNTERS CROSSING BLVD., CAPAC, MI 48014",114,65,25
1201219,CASEVILLE RESORT & MARINA,"6545 RIVERSIDE DRIVE, CASEVILLE, MI 48725",40,98,25
1201225,DOVER FARMS,"1590 DOVER DRIVE, MARTIN, MI 49070",96,43,18
1201226,CAPITOL HILLS,"6300 W. ADAMS, BELLEVILLE, MI 48111",330,31,4
1201227,TYRONE WOODS,"8378 HOGAN ROAD, FENTON, MI 48430",403,72,22
1201230,AUGUSTA WOODS,"8330 N BROOKSTON, WILLIS, MI 48191",484,31,15
1201232,MARATHON MEADOWS,"4246 LEVALLEY RD., COLUMBIAVILLE, MI 48421",47,67,26
1201235,FALCON POINTE,"555 QUARTERHORSE RD., EAST LANSING, MI 48823",18,75,28
1201241,ORCHARDS MANUFACTURED HOME COMMUNITY,"3600 TOWNSQUARE BLVD, CARLETON, MI 48117",394,29,16
1201253,,"13033 19 MILE RD, GOWEN, MI 49326",156,91,33
1201254,,"30030 W 8 MILE RD, FARMINGTON HILLS MI 48336",65,18,6
1201256,BIRCHWOOD ESTATES WEST,"3211 KEEWAHDIN ROAD, FORT GRATIOT, MI 48059",145,64,25
1201265,,",",45,42,19
1201277,MEADOWLANDS,"17305 VALENCIA DR, GIBRALTAR, MI 48173",321,27,4
1201280,EDGEWOOD ESTATES,"1620 WILLOW CREEK ROAD, ESCANABA, MI 49829",76,108,38
1201281,,"1016 PARKSIDE BLVD, BAYCITY MI 48706",137,96,35
1201285,LITTLE GEM TRAILER PARK,"1678-1694 N 10TH ST, MARTIN MI 49070",14,42,18
1201297,,"10670 DIXIE HWY., BIRCH RUN, MI 48415",50,97,26
1201298,,",",32,45,18
1201302,BIRCH FOREST,"37 SQUIRREL RD., BIRCH RUN, MI 48415",103,97,26
1201317,FOREST LAKE MHC,"17147 148TH AVENUE, SPRING LAKE, MI 49456",221,88,31
1201322,HARBOR VILLAGE COMMUNITY,"1208 ELM STREET, FRANKFORT, MI 49635",21,104,32
1201326,,"11 EVERGREEN DRIVE, ST LOUIS, MI 48880",183,92,34
1201330,,"2197 E MT MORRIS RD, MT MO 48458",685,67,26
1201333,,"25 PINE RIDGE, LAPEER, MI 48446",215,67,26
1201341,,"401 KUIPERS DR, MIDLAND MI 48642",140,95,35
1201342,CIDER MILL CROSSINGS,"9900 TOWN SQ BLVD, FENTON MI 48430",621,72,22
1201344,,"401 HOWARD AVE, HOLLAND MI 49424",38,86,31
1201345,,"3730 LAPEER RD, PORT HURON MI 48060",148,64,25
1201346,,"58220 W EIGHT MILE RD, NORTHVILLE MI 48167",336,21,6
1201347,,"11640 TOWNSQUARE BLVD, ROCKFORD MI 49341",428,90,33
1201351,SOMERSET MEADOWS MHC,"5655 BLUERIDGE AVE, KIMBALL MI 48074",162,64,25
1201352,CAMELOT MANOR MHC,"6263 DIVISION AVE S, GRAND RAPIDS MI 49508",335,83,20
1201357,,"2951 HIGGINSON, HARRISVILLE MI 49740",21,106,36
1201360,HERITAGE HILLS MOBILE HOME ESTATES,"3677 SOUTH PERE MARQUETTE HWY., LUDINGTON, MI 49431",30,102,32
1201366,,"3290 S GETTY STREET, NORTON SHORES MI 49444",41,87,32
1201373,PONDVIEW ESTATES,"621 N WALNUT STREET, GREENVILLE MI 48838",118,91,33
1201375,,"4624 S HURON RIVER DRIVE, FLAT ROCK MI 48134",22,28,16
1201376,,"6335 THORNAPPLE LAKE RD, NASHVILLE MI 49073",215,78,18
1201379,SHADY GROVE VILLAGE,"4128 MICHIGAN AVE., ONAWAY MI 49765",21,106,36
1201385,VILLAGE TRAILS,"518 HICKORY LANE, HOWARD CITY MI 49329",100,91,33
1201386,COLLEGE PARK ESTATES,"51074 MOTT ROAD, #243, CANTON MI 48188",230,24,5
1201387,SHERMAN OAKS,"1144 SHERMAN BLVD, JACKSON MI 49201",366,45,14
1201388,,"51000 MICHIGAN AVENUE, BELLEVILLE MI 48111",147,31,4
1201389,,"51000 MOTT RD, CANTON MI 48188",230,24,5
1201390,,"14401 N RIDGE ROAD, PLYMOUTH MI 48170",141,23,13
1201401,WOODVIEW MOBILE HOME VILLAGE,"6988 READY ST, WARREN MI 48091",92,58,10
1201406,,"475 N MAPLE, SALINE MI 48176",81,33,15
1201408,BRANDYMORE PINES MHC,"4400 KRAFFT RD, FORT GRATIOT MI 48059",192,64,25
1201410,CONWAY COMMONS PARK,"2959 ODEN ROAD, ALANSON MI 49706",124,107,37
1201411,OTTOGAN MOBILE HOME ESTATES,"173 LIZBETH, HOLLAND MI 49423",278,85,31
1201413,,"12500 JONES STREET, CARLETON MI 48117",228,29,16
1201415,MAPLEWOOD MOBILE HOME COMMUNITY,"50 INCA DRIVE SW, GRAND RAPIDS MI 49548",115,83,20
1201417,,"877 KINTER, BRONSON MI 49028",11,35,17
1201419,PARKS PLACE ESTATES,"14065 30TH AVE, REMUS MI 49340",29,100,34
1201420,,",",212,43,31
1201429,,"1550 W BEECHER, ADRIAN MI 49221",285,34,16
1201431,,"3971 CAPITAL AVE SW OFC, BATTLECREEK MI 49015",127,45,18
1201434,WESTBRIDGE,"45301 CHATEAU THIERRY BLVD, MACOMB MI 48044",1425,60,11
1201435,WESTBROOK,"45013 CATALPA BLVD, MACOMB MI 48044",388,60,11
1201436,,"8225 EMBURY ROAD, GRAND BLANC MI 48439",478,68,27
1201438,,"4528 HALIFAX AVE., SOUTHWEST, WYOMING MI 49519",420,83,29
1201440,,"49645 AU LAC DRIVE EAST, CHESTERFIELD MI 48051",345,63,12
1201444,PARKWAY VILLAGE ML,"23500 S KEYSTONE WAY, CLINTON TOWNSHIP MI 48036",242,61,12
1201449,,"1490 SOUTH GRAHAM ROAD, SAGINAW MI 48609",197,93,26
1201453,,"3650 METCALF ROAD, BURTCHVILLE MI 48059",496,64,25
1201454,,"6517 TELEGRAPH ROAD, ERIE MI 48133",65,30,16
1201457,SPRING VALLEY MOBILE HOME PARK,"6460 NORTHLAND DRIVE N.E., ROCKFORD MI 49341",69,90,30
1201466,,"17297 W OUTER DRIVE, UNIT #1, DEARBORN HEIGHTS MI 48127",100,15,2
1201468,,"33099 WILLOW LANE, LENOX TOWNSHIP MI 48048",340,65,25
1201472,,"16181 LANCASTER WAY, HOLLY MI 48442",314,72,22
1201473,,"109 PRUDENCE STREET, HIGGINS LAKE MI 48627",24,105,36
1201474,,"30086 PINEVIEW CIRCLE, CHESTERFIELD MI 48051",214,63,12
1201478,KEY VISTA MHC,"1800 WEST MAIN STREET, LOWELL MI 49331",137,78,18
1201482,,"2627 BROADWAY, BAY CITY MI 48708",60,96,35
1201483,GREEN BRIAR COMMUNITY,"4070 GREEN BRIAR BLVD, BURTON MI 48529",345,70,27
1201484,NEW VILLAGE ML,"430 SOUTH BRYON, HOMER MI 49245",130,45,17
1201485,MILLER TRAILER VILLAGE,"3500 S DEARING ROAD, SPRING ARBOR MI 49283",55,45,14
1201486,THE BLUFFS AT MANISTEE LAKE,"956 TENNESSEE AVE, MANISTEE MI 49660",53,102,32
1201490,BUCKHORN TRAILER COURT,"2261 ROCKY WEED, BERRIEN SPRINGS MI 49103",12,37,20
1201491,FRANKLIN WOODS,"1950 S 13TH STREET, NILES MI 49120",271,37,17
1201492,SPRUCE TREE MOBILE HOME PARK,"14200 18 1/2 MILE ROAD, MARSHALL MI 49068",80,45,18
1201501,HIDDEN OAKS MHP,"14751 APPLE DRIVE, FRUITPORT MI 49415",104,88,31
1201502,KALKASKA ESTATES,"2012 EAST ESTATE RD, KALKASKA MI 49646",54,104,36
1201503,,"12955 SHERIDAN ROAD, BURT MI 48417",14,97,26
1201510,,"960 WEST CHICAGO ROAD, STURGIS MI 49091",35,36,17
1201513,,"33645 S. HURON ROAD, BAYCITY MI 48706",240,96,35
1201516,,"3120 CHARI DRIVE, FLINT MI 48507",250,72,27
1201517,WATSON ML,"1362 E M-89 HWY, OTSEGO MI 49087",176,42,18
1201525,,"35270 GLENWOOD ROAD, WESTLAND MI 48186",29,25,5
1201526,MERLINO'S TIMBER COUNTRY MOBILE HOME PARK,"10401 W MONROE RD, ELWELL MI 48832",32,92,34
1201529,,"6800 LYDIA BOULEVARD, NORTH BRANCH MI 48461",132,98,26
1201531,,"7061 BETHUY ROAD, FAIR HAVEN MI 48023",653,63,12
1201534,,"3407 MT HOPE AVE, LANSING MI 48911",142,74,21
1201535,,"31004 E US HWY 12, STURGIS MI 49091",53,36,17
1201542,AMERICANA ESTATES,"1802 TRAY LANE, KALAMAZOO MI 49006",162,41,19
1201549,WEST OLIVE ESTATES,"8930 146TH AVENUE, WEST OLIVE MI 49460",740,88,31
1201555,,"1800 S GRAHAM ROAD, SAGINAW MI 48609",302,93,26
1201557,LAKEVIEW ESTATES ON LAWNDALE,"4231 LAWNDALE ROAD, SAGINAW MI 48603",189,93,35
1201558,,"4461 US 41, ISHPEMING MI 49849",26,109,38
1201559,,"1 ANN DRIVE, CARO MI 48723",99,97,25
1201561,WOODLAND ESTATES,"4797 SOUTH 4TH ST, KALAMAZOO MI 49009",347,40,19
1201564,PRESCOTT COMMUNITY,"7283 DIVISION AVENUE SOUTH, GRAND RAPIDS MI 49548",178,83,20
1201569,,"6447 EAST DUNBAR RD, MONROE MI 48161",620,30,16
1201570,,"3955 SOUTH CUSTER ROAD, MONROE MI 48161",319,31,16
1201572,BELLE VILLA MEADOWS,"955 SUMPTER ROAD, BELLEVILLE MI 48111",246,31,4
1201573,BELLE VILLA LAKE,"955 SUMPTER ROAD, BELLEVILLE MI 48111",176,31,4
1201574,,"360 E TUTTLE ROAD, IONIA MI 48846",290,78,33
1201576,CLINTON RIVER COMMUNITY,"4125 RIVERVIEW CIRCLE, MT CLEMENS MI 48083",132,61,12
1201578,MEADOW CREEK COMMUNITY,"58701 MEADOW CREEK BLVD, NEW HAVEN MI 48048",433,65,25
1201579,RIVERBROOK COMMUNITY,"59477 HARDY LANE, NEW HAVEN MI 48048",390,65,25
1201581,THE RESERVE COMMUNITY,"3977 SHERWOOD LAKES BLVD, JACKSON MI 49201",414,46,14
1201586,VALLEY GARDEN ESTATES,"897 MICHIGAN AVE E, BATTLE CREEK MI 49017",86,45,18
1201587,,"SOUTH DOERR ROAD, CASS CITY MI 48726",78,98,25
1201588,WOODLAND RIDGE COMMUNITY,"12250 WOODLAND RIDGE CIRCLE, SOUTH LYON MI 48178",561,49,22
1201590,THE POINT,"DIVISION STREET, CASS CITY MI 48726",29,98,25
1201591,,"16800 LOHR ROAD, BELLEVILLE MI 48111",310,31,4
1201592,,"8701 BELLEVILLE ROAD, BELLEVILLE MI 48111",358,31,4
1201595,INDEPENDENCE COMMONS COMMUNITY,"1776 CONSTITUTION CIRCLE, POTTERVILLE MI 48876",380,76,21
1201597,,"28495 JOY ROAD, WESTLAND MI 48185",105,25,5
1201599,,"1200 SOUTH WASHINGTON STREET, CONSTANTINE MI 49042",144,36,17
1201607,,"2236 VAN DYKE, MARLETTE MI 48453",56,98,25
1201623,SEAWAY RANCH MHC,"50 MACK AVENUE, MARYSVILLE MI 48040",156,64,25
1201624,,"8 CRANE LAKE DRIVE, LINDEN MI 48451",45,72,22
1201625,,"3075 EAST BAY DRIVE, FENTON MI 48430",75,72,22
1201628,,"47 BLUEBIRD HILL DRIVE, ORION MI 48359",423,54,24
1201629,,"10470 DIXIE HWY, FAIR HAVEN MI 48023",114,63,12
1201632,,"600 N ELIZABETH STREET, HILLMAN MI 49746",15,106,36
1201634,,"121 S ERIE AVE, THREE RIVERS MI 49093",82,36,17
1201635,,"820 E HOFFMAN STREET, THREE RIVERS MI 49093",52,36,17
1201639,,"831 N PONTIAC TRAIL #91, WALLED LAKE MI 48390",136,49,13
1201641,,"11446 HARBOR COVER DRIVE, FENTON MI 48430",134,72,22
1201642,,"73 ASHLEY CIRCLE, SWARTZ CREEK MI 48473",176,69,27
1201643,,"26235 W WARREN STREET, DEARBORN HEIGHTS MI 48127",198,15,2
1201644,,"71400 VAN DYKE ROAD, ROMEO MI 48065",403,66,24
1201645,,"9348 SILVER LAKE ROAD, LINDEN MI 48451",196,71,22
1201646,,"37 BELLWORD DRIVE, SWARTZ CREEK MI 47473",116,69,27
1201650,,"11567 HERON BAY DRIVE, FENTON MI 48430",94,50,22
1201653,SWAN CREEK MHC,"6988 MCKEAN, YPSILANTI MI 48197",294,32,15
1201654,,"4151 E JORDAN ROAD, MT PLEASANT MI 48858",66,92,34
1201656,,"1303 SUGAR TREE CT, CARO MI 48723",117,97,25
1201658,,"13955 BRONTE DRIVE, SHELBY TOWNSHIP MI 48315",664,59,24
1201661,VILLAGESIDE MOBILE HOME COMMUNITY,"999999 RAILROAD STREET, FAIRGROVE MI 48723",13,97,26
1201662,,"13531 DECLARATION COURT, EAGLE MI 48822",278,77,28
1201668,GUERNSEY LAKE MHP,"277 LAKESIDE DRIVE, DELTON MI 49046",40,43,18
1201671,,"1525 S COUNTY LINE ROAD, MANISTEE MI 49660",75,102,32
1201672,HARPER COMMONS MOBILE HOME COMMUNITY,"993 MICHIGAN AVE E, BATTLE CREEK MI 49014",163,45,18
1201673,,"11345 SW GREENVILLE ROAD, GREENVILLE MI 48838",57,91,33
1201674,LEE VILLA MOBILE HOME COMMUNITY,"2985 GADY  ROAD, ADRIAN MI 49221",113,34,16
1201676,,"14210 TELEGRAPH ROAD, FLAT ROCK MI 48134",123,NA,NA
1201679,GLADWIN VILLAGE MOBILE HOME PARK,"805 N BOWERY, GLADWIN MI 48624",10,99,34
1201681,,"551 GRACE STREET, FARWELL MI 48622",66,100,34
1201683,,"5663 PICKEREL LAKE ROAD, PETOSKEY MI 49770",40,107,37
1201684,SHERWOOD MOBILE HOME PARK,"1519 OLMSTEAD ROAD #31, KALAMAZOO MI 49048",62,41,19
1201686,,"185 HUNTLEY DRIVE, COMMERCE TWP MI 48390",42,49,23
1201691,,"1100 SOUTH MAIN STREET, ADRIAN MI 49221",179,34,16
1201695,,"1168 W BRIDGE STREET, PLAINWELL MI 49080",82,42,18
1201698,,"4524 LEONARD STREET NW, GRAND RAPIDS MI 49534",323,84,30
1201699,PAT'S TRAILER COURT,"4650 S TELEGRAPH, DEARBORN HEIGHTS MI 48125",50,15,2
1201700,WINSLOW PARK,"734 W GRAND RIVER AVE, OKEMOS MI 48864",72,75,28
1201701,VILLA GRANDE MOBILE HOME PARK,"4403 DAVISON RD, BURTON MI 48509",43,68,27
1201705,,"2066 S TELEGRAPH ROAD, BROWNSTOWN TWP MI 48183",157,17,6
1201707,,"3750 MAYFIELD AVE ME, GRAND RAPIDS MI 49525",124,81,30
1201708,,"3601 ALPINE DRIVE, MIDLAND MI 48640",281,95,35
1201710,,"101 HIBBARD STREET, MANCHESTER MI 48158",116,47,15
1201716,BEACH VIEW MOBILE HOME PARK,"1845 JASBERG ST, HANCOCK MI 49930",18,110,38
1201717,,"4359 DOGWOOD BLVD, CLARKSTON MI 48348",511,66,24
1201718,MOON LAKE ESTATES MHP,"12700 COLBY LAKE ROAD, LAINGSBURG MI 48848",103,75,28
1201721,,"2650 STONEY LAKE BLVD, STANTON MI 49888",14,91,33
1201722,,"10891 CEMENT CITY HWY, ADDISON MI 49220",95,34,16
1201723,,"1145 HARMONIA, SPRINGFIELD MI 49017",144,44,18
1201726,EDISON COURT MHC,"2801 GRISWOLD RD, PORT HURON MI 48060",64,64,25
1201727,MEADOWS MOBILE HOME PARK,"6255 TELEGRAPH RD, ERIE MI 48133",386,30,16
1201733,JACKSON MOBILE HOME PARK,"2240 BROOKLYN ROAD, JACKSON MI 49203",80,47,14
1201734,ROBINHOOD ESTATES MOBILE HOME PARK,"3180 N ADRIAN HWY, ADRIAN MI 49221",25,34,16
1201736,LAKESIDE MOBILE COURT,"4302 WESTERN RD, FLINT MI 48506",71,70,27
1201740,PARK LANE COURT,"3193 EAST 10 MILE ROAD, WARREN MI 48091",168,14,3
1201742,BAYSIDE MOBILE ESTATES,"3400 10 STREET, MENOMINEE MI 49858",97,108,38
1201744,RAVINES MHP,"2088 EAST EMPIRE AVENUE, BENTON HARBOR MI 49022",232,38,20
1201745,,"210 E GILES ROAD, MUSKEGON MI 49445",300,87,32
1201749,PINES MOBILE HOME PARK,"3241 N 72ND AVE, HART MI 49420",48,102,32
1201750,,"2006 ONTARIO ROAD, NILES MI 49120",129,37,17
1201755,BIRCHWOOD MHC,"4155 WEST CARPENTER ROAD, FLINT MI 48504",82,69,27
1201758,,"333 E LAKEWOOD BLVD, HOLLAND MI 49424",399,86,31
1201760,,"5284 124th AVE, FENNVILLE MI 49408",76,43,20
1201761,EDGEWOOD MANUFACTURED HOME COMMUNITY,"7415 WHITEHALL ROAD, MUSKEGON MI 49461",65,102,32
1201765,COZY CORNER PROPERTY,"5201 N DORT HWY, FLINT MI 48505",43,70,27
1201767,,"8499 M-71, DURAND MI 48429",239,71,28
1201768,RIVERVIEW ESTATES OF BAY CITY,"765 S RIVER ROAD, BAY CITY MI 48708",197,96,35
1201770,VALLEY MOBILE HOME PARK,"3477 HURON ROAD, BAY CITY MI 48706",25,96,35
1201773,SUMMERHILL VILLAGE,"5280 S MISSION ROAD, MOUNT PLEASANT MI 48858",305,92,34
1201774,,"520 13TH ST, THREE RIVERS MI 49093",115,NA,NA
1201775,,"3885 E STAGE ROAD, IONIA MI 48846",50,78,33
1201776,GARFIELD OAKS,"3011 N GARFIELD ROAD, TRAVERSE CITY MI 49686",53,103,37
1201778,,"3400 BENMARK PLACE, FLINT MI 48506",126,67,26
1201779,,"1655 S REESE ROAD, REESE MI 48757",140,97,26
1201780,,"12919 TIPTON HWY, CLINTON MI 49236",73,34,16
1201782,,"1205 YORK BLVD, CARLETON MI 48117",280,29,16
1201783,,"43124 M 43, PAW PAW MI 49079",59,39,20
1201784,,"4400 EDGAR ROAD, LESLIE MI 49251",39,73,21
1201785,,"2070 S ALMONT AVE, IMLAY CITY MI 48444",210,65,26
1201786,,"38000 LECHATEAU BLVD, CLINTON TOWNSHIP MI 48038",1000,61,11
1201790,,"714 MILL STREET, LESLIE MI 49251",78,73,21
1201792,,"875 W GRAND RIVER AVE., #75, WILLIAMSTON MI 48033",99,73,28
1201794,THE WOODS AT CRYSTAL LAKE,"6747 ASH DRIVE, BENZONIA MI 49616",47,104,32
1201796,,"229 E WALTON BLVD, PONTIAC MI 48340",257,53,7
1201797,,"5148 DOVE ROAD, KIMBALL MI 48074",68,64,25
1201798,,"6940 LANSING AVE, JACKSON MI 49201",13,45,14
1201799,,"4310 MEADOW LANE, TRAVERSE CITY MI 49685",483,103,37
1201800,,"12481 LONG LAKE ROAD, SPARTA MI 49345",157,90,33
1201801,,"7659 N INKSTER ROAD, WESTLAND MI 48185",133,25,5
1201803,RIVERWOOD,"501 E JEFFERSON STREET, BELLEVUE MI 49021",50,43,21
1201804,,"27 MILE ROAD, ALBION MI 49224",341,44,17
1201806,,"116 WEST CHURCH, HARRISVILLE MI 48740",15,106,36
1201809,NORTHERNAIRE MOBILE ESTATES,"55 RILINGS STREET, GWINN MI 49841",115,109,38
1201812,,"48790 DEQUINDRE ROAD, SHELBY TWP MI 48317",303,59,24
1201813,,"1 LARNED ROAD, PORT AUSTIN MI 48467",36,98,25
1201814,SYLVAN LAKE ESTATES MHC,"451 S TELEGRAPH ROAD, PONTIAC MI 48053",82,53,7
1201816,"RAISIN VALLEY ESTATES, MHC","4897 N ADRIAN HWY, ADRIAN MI 49221",26,34,16
1201817,HAMLET OF HUNTERS CREEK MOBILE HOME PARK,"11334 120TH AVENUE, RODNEY MI 49342",50,100,34
1201819,THE WOODLANDS MANUFACTURED HOME COMMUNITY,"1441 W ROMEO ROAD, OAKLAND MI 48363",375,66,24
1201820,SHADYLANE ESTATES MHC,"2709 CAPITOL #92, WARREN MI 48091",270,14,3
1201822,,"9640 N GREENVILLE ROAD, LAKEVIEW MI 48850",23,91,33
1201823,,"2701 HUIZENGA SREET, NORTH SHORES MI 49444",111,87,32
1201824,,"6122 DIVISION AVE, GRAND RAPIDS MI 49548",190,79,20
1201825,,"6148 DIVISION AVE S, GRAND RAPIDS MI 49548",156,79,20
1201826,,"271 GREEN STREET, SPRINGPORT MI 49284",81,45,17
1201827,,"3435 W SAINT JOSEPH STREET, LANSING MI 48917",158,77,21
1201828,ARCADIAN OAKS MHC,"1301 A AVENUE A, SPRINGFIELD MI 49037",37,44,18
1201831,,"865 S VAN DYKE, BAD AXE MI 48413",40,98,25
1201832,VICTORIA WOODS MHP,"2574 WEST MIDLAND ROAD, MIDLAND MI 48642",52,97,35
1201833,HARRISON MOBILE HOME PARK,"1820 HAMPTON ROAD, HARRISON MI 48625",6,100,34
1201834,ROYAL HOLIDAY,"39500 W WARREN ROAD, CANTON MI 48187",436,24,5
